0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:48 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:48 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:48 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:48 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:48 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:48 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:48 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:48 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:48 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:48 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:48 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:48 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:48 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:48 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:48 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:48 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:48 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:48 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:48 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:48 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:48 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:48 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:48 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:48 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:48 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:49 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:49 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:49 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:49 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:49 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:49 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:49 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:49 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:49 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:49 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:49 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:49 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:49 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:49 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:49 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:49 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
